id_unn;cod_loja;sigla_loja;safra;nome
1;19;IMI;1;IMIGRANTES
1;25;ZNO;1;ZONA NORTE
1;28;SOR;1;SOROCABA 
1;43;TAT;1;TATUAPÉ
1;8;PGD;2;PRAIA GRANDE
1;12;JDI;2;JUNDIAÍ 
1;27;OSA;2;OSASCO
1;31;BEL;2;BELVEDERE
1;38;DPE;2;DOM PEDRO 
1;40;TAM;2;TAMBORÉ
1;54;MGA;2;MARINGÁ
1;57;ARP;2;ARICANDUVA 2
1;70;WHL;2;W. LUIS
1;71;RDV;2;RODA VIVA
1;73;TBT;2;TAUBATÉ
1;74;RPT;2;RIBEIRÃO PRETO
1;75;AMZ;2;AMAZONAS 
1;1;ANH;3;ANHANGUERA 
1;3;MGN;3;MARGINAL
1;9;SA1;3;SANTO ANDRÉ 1
1;22;TAB;3;TABOÃO
1;23;PMG;3;PRO-MARGINAL
1;24;ARI;3;ARICANDUVA 1
1;26;SJC;3;SÃO JOSÉ DOS CAMPOS
1;29;PAR;3;PRO-ARICANDUVA
1;30;MOR;3;MORUMBI
1;32;GRU;3;GUARULHOS
1;34;PAM;3;PAMPULHA
1;36;CTG;3;CONTAGEM
1;37;PIR;3;PIRACICABA 
1;39;UBE;3;UBERLÂNDIA
1;48;BRG;3;BRAGANÇA
1;51;TIR;3;TIRADENTES
1;52;CAT;3;CATUAI
1;55;PRU;3;PRESIDENTE PRUDENTE
1;56;CLI;3;CAMPO LIMPO
1;64;SAN;3;SANTOS
1;66;RAP;3;RAPOSO
1;72;SCA;3;SÃO CARLOS
